,Line Number,Location path code,L1,L2,L3,L4,L5,Category,Training/ Spontaneous,How Discovered?,Utterance: Single word or phrase,Type of Sign,Type of Sign 2,,,,,absolute X,absolute Y,relative X,relative Y,Notes,# boxes on screen,"Cori's double check - yellow are different, white are still the same"
1,1,ABCE,A        Talk about,AB   Temp and Weather,ABC       Hot,ABCE             Hot inside,,Space-Temporal,Generalized,,Phrase,Photo,Iconic,,,,,2,1,2,1,,7,7
2,2,ABCF,A        Talk about,AB   Temp and Weather,ABC       Hot,ABCF             Hot outside,,Space-Temporal,Generalized,,Phrase,Photo,Iconic,,,,,3,1,3,1,,7,7
3,3,ABDE,A        Talk about,AB   Temp and Weather,ABD      Warm,ABDE             Warm inside,,Space-Temporal,Generalized,,Phrase,Photo,Iconic,,,,,2,1,2,0,,6,6
4,4,ABDF,A        Talk about,AB   Temp and Weather,ABD      Warm,ABDF             Warm outside,,Space-Temporal,Generalized,,Phrase,Photo,Iconic,,,,,3,1,3,0,,6,6
5,5,ABED,A        Talk about,AB   Temp and Weather,ABE       Cool,ABED             Cool inside,,Space-Temporal,Generalized,,Phrase,Photo,Iconic,,,,,1,1,1,0,,6,6
6,6,ABEF,A        Talk about,AB   Temp and Weather,ABE       Cool,ABEF              Cool outside,,Space-Temporal,Generalized,,Phrase,Photo,Iconic,,,,,3,1,3,1,,6,6
7,7,ABFD,A        Talk about,AB   Temp and Weather,ABF       Cold,ABFD             Cold inside,,Space-Temporal,Generalized,,Phrase,Photo,Iconic,,,,,1,1,1,1,,7,7
8,8,ABFE,A        Talk about,AB   Temp and Weather,ABF       Cold,ABFE              Cold outside,,Space-Temporal,Generalized,,Phrase,Photo,Iconic,,,,,2,1,2,1,,7,7
9,9,BKD,B        Say hello to,BK   Talk About,BKD       Learning,,,Socio-Cognitive,Generalized,,Single Word,Abstract Sign,Not-Iconic,,,,,1,1,2,0,,4,4
10,10,DCG,D        To play,DC   Book,DCG Theme,,,Navigation,Generalized,,Single Word,Drawing,Not-Iconic,,,,,-3,-1,-3,-1,"prev x=-2, y=1",8,7
11,11,KF,K         Cartoons,KF    Themes,,,,Navigation,Generalized,,Single Word,Drawing,Not-Iconic,,,,,3,1,3,1,,9,9
