EXCLUDE,Line Number,Location path code,Date/Video Link,Time of Day/ Timestamp,Context,Caregiver Question,Learning Practice (Exclude),Menu,Word/Phrase,Caregiver Response,Comments
,1,K,12/24/21,F,We were watching The Polar Express movie,,,Cartoons,,,"""To watch"" became ""Cartoons"" menu in time"
,2,E,12/24/21,10:30 PM,,,,Feeling,,,
,3,EB,12/24/21,10:30 PM,,,,,Happy,,
TRUE,4,,,,,,,,,,
,5,EF,12/25/21,5:00 PM,We just returned from Christmas visit with family & the birds were left alone for 24 hrs,,,,Mad,,We had been gone for 24 hours and that is a long time for her She didn't respond when I offered her more options
,6,EF,12/25/21,5:00 PM,,,,,Mad,,
TRUE,7,,12/25/21,5:00 PM,,,,,,,Bird gave no answer and ended session
TRUE,8,,,,,,,,,,
,9,D,12/25/21,5:15 PM,We just returned from Christmas visit with family & the birds were left alone for 24 hrs,,,To play,,Yeah?,
,10,DC,12/25/21,5:15 PM,,,,,Book,You want a book?,"no book engagement-Jen went to feelings menu right after Ellie said ""book"""
TRUE,11,,12/25/21,5:15 PM,,,,,,,
,12,EB,12/25/21,5:15 PM,,,,,Happy,,
,13,EB,12/25/21,5:15 PM,,,,,Happy,,
TRUE,14,,12/25/21,5:15 PM,,,,,,,"Offered book and toy, she threw the toy and picked the book, offered 2 books, she picked Twas the Night Before Christmas & we read it together (4 minutes)"
,15,B,12/25/21,5:15 PM,,,,Say Hello To,,Hello!,
,16,BC,12/25/21,5:15 PM,,,,,Mom,,
,17,BD,12/25/21,5:15 PM,,,,,Grandma,,Had some trouble touching so I helped
,18,BG,12/25/21,5:15 PM,,,,,Car Ride,"Grandma's not here, but we can call her",
,19,BG,12/25/21,5:15 PM,,,,,Car Ride,,"When grandma comes to visit, we usually take Ellie out for a car ride to see the Christmas lights, or for drives generally"
,20,AJD,12/25/21,5:15 PM,,,,,I'm not sure,We can call grandma while we are driving,
,21,AJB,12/25/21,5:15 PM,,,,,Yes,The only way grandma can come is if we call her Let's call her while we have a car ride,
,22,AJB,12/25/21,5:15 PM,,,,,Yes,,
TRUE,23,,12/25/21,5:15 PM,,,,,,,Corroborating her request for a car ride by holding up the car keys and a book; then we went for a car ride. Estimated time
TRUE,24,,,,,,,,,,
,25,A,12/25/21,6:30ish pm,Went for a car ride,,,Talk about,,,She was touching but it wasn't responding
TRUE,26,,12/25/21,6:30ish pm,,,,Outside,,,
,27,ABF,12/25/21,6:30ish pm,,,,,Cold,Yeah it's cold outside,It was winter and cold outside/cool in their room
,28,ABE,12/25/21,6:30ish pm,,,,,Cool,,
,29,ABC,12/25/21,6:30ish pm,,,,,Hot,"OK, let me turn the heater on",
,30,AJB,12/25/21,6:30ish pm,Corroborating her request for a heater,,,,Yes,,
,31,AJB,12/25/21,6:30ish pm,,,,,Yes,,Had a hard time touching
,32,AJC,12/25/21,6:30ish pm,,,,,No,,
,33,L,12/25/21,6:30ish pm,,,,,Treats,,
TRUE,34,,12/25/21,6:30ish pm,,,,,,,Given the option of sunflower seeds and seed ball - chose the sunflower seeds
TRUE,35,,,,,,,,,,
,36,I,3/1/22,8:00pm,Evening - 8pm (for first question the camera plug had come out),,,Places,,,
,37,IC,3/1/22,8:00pm,,,,,Sofa basket,"We can't right now, Tillie is there",She transferred onto my hand to go to the sofa
,38,B,3/1/22,8:00pm,,,,Say hello to,,,Request for joint attention? Destination word as she pressed back button
,39,A,3/1/22,8:00pm,,,,Talk About,,,
,40,ABC,3/1/22,8:00pm,,,,Hot,,,
,41,ABCB,3/1/22,8:00pm,,,,,I feel hot,,
,42,A,3/1/22,8:00pm,,,,Talk about,,,Destination word as she pressed back button
,43,A,3/1/22,8:00pm,,,,Talk about,,Yeah? What's up?,Menu
TRUE,44,,3/1/22,8:00pm,,,,,Body,,word wasn't included in new menu
,45,ABC,3/1/22,,,,,Hot,,,
,46,ABCB,3/1/22,8:00pm,,,,,I feel hot,,
,47,A,3/1/22,8:00pm,,,,Talk about ,,,
,48,A,3/1/22,8:00pm,,,,Talk about ,,What do you want to feel?,
,49,AB,3/1/22,,,,,Temp and Weather,,,
,50,ABD,3/1/22,8:00pm,,,,Warm,,,
,51,ABC,3/1/22,8:00pm,,,,Hot,,,
,52,ABCF,3/1/22,8:00pm,,,,,Hot outside,,
,53,ABCB,3/1/22,8:00pm,,,,,I feel hot,,
,54,ABCF,3/1/22,8:00pm,,,,,Hot outside,,
,55,A,3/1/22,,,,,Talk About,,,
,56,AB,3/1/22,8:00pm,,,,Temp and Weather,,I'll turn the air on for us,
,57,AB,3/1/22,8:00pm,,,,Temp and Weather,,,
,58,ABC,3/1/22,,,,,Hot,,,
,59,ABCF,3/1/22,8:00pm,,,,,Hot outside,,
,60,ABC,3/1/22,8:00pm,,,,Hot,,,
,61,A,3/1/22,8:00pm,,,,Talk about ,,,
,62,C,3/1/22,,,,,Experience,,,
,63,CB,3/1/22,8:00pm,,,,,Mom,,
,64,A,3/1/22,8:00pm,,,,Talk about ,,,
,65,A,3/1/22,8:00pm,,,,Talk about ,,,
,66,A,3/1/22,8:00pm,,,,Talk about ,,,
TRUE,67,,3/1/22,8:00pm,,,,Outside,,,
,68,A,3/1/22,8:00pm,,,,Talk about,,,
,69,C,3/1/22,8:00pm,,,,Experience,,,
,70,CB,3/1/22,8:00pm,,,,,Mom,,
,71,A,3/1/22,8:00pm,,,,Talk about ,,,
TRUE,72,,3/1/22,,,,,Outside,,,
TRUE,73,,3/1/22,8:00pm,,,,Outside,,,
,74,ABF,3/1/22,8:00pm,,,,Cold,,,
,75,ABC,3/1/22,8:00pm,,,,Hot,,,
,76,ABCF,3/1/22,8:00pm,,,,,Hot outside,,
,77,ABCF,3/1/22,8:00pm,,,,,Hot outside,,
,78,ABCF,3/1/22,8:00pm,,,,,Hot outside,,
,79,ABCB,3/1/22,8:00pm,,,,,I feel hot,I'm going to turn the air on It's just going to be a little loud,
,80,ABCF,3/1/22,8:00pm,,,,,Hot outside,,
,81,ABCB,3/1/22,8:00pm,,,,,I feel hot,,
,82,ABCF,3/1/22,8:00pm,,,,,Hot outside,,
,83,ABCB,3/1/22,8:00pm,,,,,I feel hot,,
,84,ABCD,3/1/22,8:00pm,,,,,I want to Feel Hot,,
,85,ABCF,3/1/22,8:00pm,,,,,Hot outside,,
TRUE,86,,,,,,,,,,
,87,I,3/3/22,8:51am,,,,Places,,,
,88,IC,3/3/22,8:51am,,,,,Sofa basket,"We can't right now, Tillie is there",She transferred onto my hand to go to the sofa
,89,D,3/3/22,8:51am,,,,To Play,,,
,90,DF,3/3/22,8:51am,,,,,Tracing,,
,91,DK,3/3/22,8:51am,,,,,Crafts,,
,92,DF,3/3/22,8:51am,,,,,Tracing,,"Do you want to do tracing and a craft? What do you want to do, can you tell me again?"
