Line Number,Location path code,L1,L2,L3,L4,L5,Category,Utterance: Single word or phrase,Type of Sign,Training/ Spontaneous
1,A,A        Talk about,,,,,Navigation,Phrase,Abstract Sign,Trained - Repeated
2,AA,A        Talk about,AA   Back,,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
3,AB,A        Talk about,AB   Animals,,,,Navigation,Single Word,Drawing,Trained - Repeated
4,ABA,A        Talk about,AB   Animals,ABA Back,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
5,ABB,A        Talk about,AB   Animals,ABB,,,,,,
6,ABC,A        Talk about,AB   Animals,ABC Underwater Animals,,,Navigation,Phrase,Drawing,Trained - Repeated
7,ABCA,A        Talk about,AB   Animals,ABC Underwater Animals,ABCA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
8,ABCB,A        Talk about,AB   Animals,ABC Underwater Animals,ABCB Fish,,Socio-Cognitive,Single Word,Drawing,Trained
9,ABCC,A        Talk about,AB   Animals,ABC Underwater Animals,ABCC ,,,,,
10,ABCD,A        Talk about,AB   Animals,ABC Underwater Animals,ABCD Turtle,,Socio-Cognitive,Single Word,Drawing,Trained
11,ABCE,A        Talk about,AB   Animals,ABC Underwater Animals,ABCE Octopus,,Socio-Cognitive,Single Word,Photo,Trained
12,ABCF,A        Talk about,AB   Animals,ABC Underwater Animals,ABCF Seahorse,,Socio-Cognitive,Single Word,Photo,Trained
13,ABCG,A        Talk about,AB   Animals,ABC Underwater Animals,ABCG Dolphin,,Socio-Cognitive,Single Word,Photo,Trained
14,ABCH,A        Talk about,AB   Animals,ABC Underwater Animals,ABCH Crab,,Socio-Cognitive,Single Word,Drawing,Trained
15,ABCI,A        Talk about,AB   Animals,ABC Underwater Animals,ABCI Book,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
16,ABCJ,A        Talk about,AB   Animals,ABC Underwater Animals,ABCJ Look at art,,Socio-Cognitive,Phrase,Drawing,Trained - Repeated
17,ABCK,A        Talk about,AB   Animals,ABC Underwater Animals,ABCK Talk about,,Socio-Cognitive,Phrase,Abstract Sign,Trained - Repeated
18,ABCL,A        Talk about,AB   Animals,ABC Underwater Animals,ABCL Game,,Socio-Cognitive,Single Word,Photo,Trained - Repeated
19,ABCM,A        Talk about,AB   Animals,ABC Underwater Animals,ABCM Past,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
20,ABCN,A        Talk about,AB   Animals,ABC Underwater Animals,ABCN Today,,Space-Temporal,Single Word,Drawing,Trained - Repeated
21,ABCO,A        Talk about,AB   Animals,ABC Underwater Animals,ABCO Future,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
22,ABCP,A        Talk about,AB   Animals,ABC Underwater Animals,ABCP Like,,Self/State,Single Word,Abstract Sign,Trained - Repeated
23,ABCQ,A        Talk about,AB   Animals,ABC Underwater Animals,ABCQ No like,,Self/State,Phrase,Abstract Sign,Trained - Repeated
24,ABCR,A        Talk about,AB   Animals,ABC Underwater Animals,ABCR Want,,Self/State,Single Word,Drawing,Trained - Repeated
25,ABD,A        Talk about,AB   Animals,ABD Baby Animals,,,Navigation,Phrase,Photo,Trained - Repeated
26,ABDA,A        Talk about,AB   Animals,ABD Baby Animals,ABDA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
27,ABDB,A        Talk about,AB   Animals,ABD Baby Animals,ABDB Chick,,Socio-Cognitive,Single Word,Photo,Trained
28,ABDC,A        Talk about,AB   Animals,ABD Baby Animals,ABDC Lamb,,Socio-Cognitive,Single Word,Photo,Trained
29,ABDD,A        Talk about,AB   Animals,ABD Baby Animals,ABDD,,,,,
30,ABDE,A        Talk about,AB   Animals,ABD Baby Animals,ABDE Bunny,,Socio-Cognitive,Single Word,Photo,Trained
31,ABDF,A        Talk about,AB   Animals,ABD Baby Animals,ABDF Duck,,Socio-Cognitive,Single Word,Photo,Trained
32,ABDG,A        Talk about,AB   Animals,ABD Baby Animals,ABDG Puppy,,Socio-Cognitive,Single Word,Photo,Trained
33,ABDH,A        Talk about,AB   Animals,ABD Baby Animals,ABDH Kitten,,Socio-Cognitive,Single Word,Photo,Trained
34,ABDI,A        Talk about,AB   Animals,ABD Baby Animals,ABDI Book,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
35,ABDJ,A        Talk about,AB   Animals,ABD Baby Animals,ABDJ Look at art,,Socio-Cognitive,Phrase,Abstract Sign,Trained - Repeated
36,ABDK,A        Talk about,AB   Animals,ABD Baby Animals,ABDK Talk about,,Socio-Cognitive,Phrase,Abstract Sign,Trained - Repeated
37,ABDL,A        Talk about,AB   Animals,ABD Baby Animals,ABDL Game,,Socio-Cognitive,Single Word,Photo,Trained - Repeated
38,ABDM,A        Talk about,AB   Animals,ABD Baby Animals,ABDM Past,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
39,ABDN,A        Talk about,AB   Animals,ABD Baby Animals,ABDN Today,,Space-Temporal,Single Word,Drawing,Trained - Repeated
40,ABDO,A        Talk about,AB   Animals,ABD Baby Animals,ABDO Future,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
