EXCLUDE,Line Number,Location path code,Date/Video Link,Time of Day/ Timestamp,Context,Caregiver Question,Menu,Destination Word,,,Caregiver Response,Comments,
,1,J,20231101_104028,morning,Video started after her touches,n/a,About Me,,,,,,
,2,JD,,,,,Body,,,,,,
,3,JDR,,,,,Types of ouch,,,,,,
,4,JDRG,,,,,,Cancer,,,,,
,5,JDRG,,,,,,Cancer,,,,,
,6,JDRB,,,,,,Inside Ouch,,,,,
,7,JDRB,,,,,,Inside Ouch,,,Jen shows her finger ouch and tells her her inside ouch is not cancer,,
TRUE,8,,,,,,,,,,,,
,9,J,20231105_192920,evening,"Before the video: Jen said she said About me [undetectible], she did some writing, changed color 3x, exited the writing app, opened YouTube, clicked on Mozart music (duration 40m), ",You were doing amazing. Yeah. Go for it. What's up?,About me,,,,,"tablet showed:  Descriptions and preferences, about me, feelings, no like, like, afraid ",
,10,JD,,,,How are you today?,Body,,,,How are you today? I miss you. We haven't talked in a while.,nc,
,11,JE,,,,Go for it. ,Feeling,,,,,,
,12,,,,,,Excited,,,,"Are you feeling excited? I'm excited too. We're gonna do some writing,  ",several nc I want to feel exciteds,
,13,,,,,,,I want to feel excited,,,yay,,
,14,,,,,"hi-o, go for it, what's up",,I want to feel excited,,,"mmmhmm, I feel excited too, and I missed you, yesterday was a little sick, and the day before was Halloween. ","non-capacitive (didn't quite hit it) I want to feel excited, Ellie tapped the blank area on the screen two times after Jen responded, Jen touched Back to bring it to main menu",
,15,IBJ,,,,uh huh,Descriptions and preferences,,,,"yeah... here, I'm gonna move this over, there you go","Jen touched Back to bring it to main menu, Jen moved red plastic biscuit keyring toy out of her way, Ellie tapped the blank are on the screen 4x",
TRUE,16,T2PREFS,,,,go for it,Preferences,,,,"I know, it's not done yet. why don't we do this one?",Jen pressed opposites,
,17,IBJ,,,,what do you think about dark and fixed and broken,,dark,,,,,
,18,IBJ,,,,,,dark,,,"yeah, what do you think about that","non-capacitive  dark, non-capacitive (light-slide to the pic of the stool - maybe fixed?) Ellie touches blank area of tablet while eating a treat - possibly to move the treat in her beak, Ellie touches blank area of tablet while eating a treat - possibly to move the treat in her beak",
,19,IBJ,,,,"uh huh, yeah, we're inside, what do you think?Do you feel the wind?",,dark,,,yeah,"fast double-touch, non-capacitive Out? (right of dark)",
