Line Number,Location path code,selection,source,word,menu,menu_ff,full_pattern,menu_pattern,button,menu_title,is_menu,menu_multiplicity,multiplicity,is_match,match_type
1,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO,,,,,,,,false,
2,,NEIGHBOR,FINAL,Neighbor,,SAY HELLO TO,JE,J,E,TO SAY HELLO TO,false,,1,true,UNIQUE_MATCH
5,,YES,FINAL,Yes,,SAY HELLO TO,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
6,,NO,FINAL,No,,SAY HELLO TO,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
7,,YES,FINAL,Yes,,SAY HELLO TO,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
10,,PLAY,MENU,,PLAY,PLAY,,,,,,,,false,
11,,OUTSIDE,FINAL,Outside,,PLAY,II,I,I,TO PLAY,false,,1,true,UNIQUE_MATCH
14,,NO,FINAL,No,,PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
15,,NO,FINAL,No,,PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
16,,YES,FINAL,Yes,,PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
17,,NO,FINAL,No,,PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
18,,YES,FINAL,Yes,,PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
21,,WANT,FINAL,Want,,PLAY,,,,,,,,false,
22,,TREAT,FINAL,Treat,,PLAY,B,"",B,MAIN MENU,false,,1,true,UNIQUE_MATCH
23,,WANT,FINAL,Want,,PLAY,,,,,,,,false,
24,,TREAT,FINAL,Treat,,PLAY,B,"",B,MAIN MENU,false,,1,true,UNIQUE_MATCH
27,,TOM & JERRY,FINAL,Tom & Jerry,,PLAY,,,,,,,,false,
28,,TOM & JERRY,FINAL,Tom & Jerry,,PLAY,,,,,,,,false,
31,,NO,FINAL,No,,PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
32,,YES,FINAL,Yes,,PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
33,,NO,FINAL,No,,PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
34,,NO,FINAL,No,,PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
35,,YES,FINAL,Yes,,PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
38,,TREAT,FINAL,Treat,,PLAY,B,"",B,MAIN MENU,false,,1,true,UNIQUE_MATCH
41,,TO DRINK,MENU,,TO DRINK,TO DRINK,G,"",G,MAIN MENU,true,1,1,true,UNIQUE_MATCH
42,,TEA,FINAL,Tea,,TO DRINK,GC,G,C,TO DRINK,false,,1,true,UNIQUE_MATCH
43,,YES,FINAL,Yes,,TO DRINK,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
47,,TO PLAY,MENU,,TO PLAY,TO PLAY,I,"",I,MAIN MENU,true,1,1,true,UNIQUE_MATCH
49,,TO PLAY,MENU,,TO PLAY,TO PLAY,I,"",I,MAIN MENU,true,1,1,true,UNIQUE_MATCH
50,,TRACING,FINAL,Tracing,,TO PLAY,ID,I,D,TO PLAY,false,,1,true,UNIQUE_MATCH
51,,TRACING,FINAL,Tracing,,TO PLAY,ID,I,D,TO PLAY,false,,1,true,UNIQUE_MATCH
54,,NO,FINAL,No,,TO PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
55,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
58,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
59,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
60,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
62,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
65,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
66,,NO,FINAL,No,,TO PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
69,,SEED BALL,FINAL,Seed ball,,TO PLAY,C,"",C,MAIN MENU,false,,1,true,UNIQUE_MATCH
70,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
73,,SEED BALL YES,FINAL,Seed ball YES,,TO PLAY,,,,,,,,false,
74,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
77,,TO SAY HELLO TO,MENU,,TO SAY HELLO TO,TO SAY HELLO TO,J,"",J,MAIN MENU,true,1,1,true,UNIQUE_MATCH
78,,NEIGHBOR,FINAL,Neighbor,,TO SAY HELLO TO,JE,J,E,TO SAY HELLO TO,false,,1,true,UNIQUE_MATCH
83,,TO PLAY,MENU,,TO PLAY,TO PLAY,I,"",I,MAIN MENU,true,1,1,true,UNIQUE_MATCH
84,,TRACING,FINAL,Tracing,,TO PLAY,ID,I,D,TO PLAY,false,,1,true,UNIQUE_MATCH
85,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
88,,NO,FINAL,No,,TO PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
91,,NO,FINAL,No,,TO PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
92,,TO SAY HELLO TO,MENU,,TO SAY HELLO TO,TO SAY HELLO TO,J,"",J,MAIN MENU,true,1,1,true,UNIQUE_MATCH
93,,NEIGHBOR,FINAL,Neighbor,,TO SAY HELLO TO,JE,J,E,TO SAY HELLO TO,false,,1,true,UNIQUE_MATCH
94,,NO,FINAL,No,,TO SAY HELLO TO,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
97,,YES,FINAL,Yes,,TO SAY HELLO TO,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
100,,NO,FINAL,No,,TO SAY HELLO TO,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
101,,NO,FINAL,No,,TO SAY HELLO TO,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
105,,YES,FINAL,Yes,,TO SAY HELLO TO,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
108,,NUT,FINAL,Nut,,TO SAY HELLO TO,,,,,,,,false,
109,,YES,FINAL,Yes,,TO SAY HELLO TO,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
112,,NO,FINAL,No,,TO SAY HELLO TO,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
113,,TO DRINK,MENU,,TO DRINK,TO DRINK,G,"",G,MAIN MENU,true,1,1,true,UNIQUE_MATCH
114,,HOT TEA,FINAL,Hot tea,,TO DRINK,,,,,,,,false,
115,,NO,FINAL,No,,TO DRINK,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
118,,TO PLAY,MENU,,TO PLAY,TO PLAY,I,"",I,MAIN MENU,true,1,1,true,UNIQUE_MATCH
119,,TRACING,FINAL,Tracing,,TO PLAY,ID,I,D,TO PLAY,false,,1,true,UNIQUE_MATCH
120,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
123,,NO,FINAL,No,,TO PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
124,,NO,FINAL,No,,TO PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
125,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
128,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
129,,NUT,FINAL,Nut,,TO PLAY,,,,,,,,false,
130,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
133,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE,M,"",M,MAIN MENU,true,1,1,true,UNIQUE_MATCH
134,,TOUCH,FINAL,Touch,,EXPERIENCE,,,,,,,,false,
135,,YES,FINAL,Yes,,EXPERIENCE,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
136,,YES,FINAL,Yes,,EXPERIENCE,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
139,,YES,FINAL,Yes,,EXPERIENCE,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
140,,NO,FINAL,No,,EXPERIENCE,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
141,,YES,FINAL,Yes,,EXPERIENCE,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
144,,NO,FINAL,No,,EXPERIENCE,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
145,,YES,FINAL,Yes,,EXPERIENCE,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
146,,YES,FINAL,Yes,,EXPERIENCE,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
147,,NO,FINAL,No,,EXPERIENCE,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
148,,NUT,FINAL,Nut,,EXPERIENCE,,,,,,,,false,
149,,TO PLAY,MENU,,TO PLAY,TO PLAY,I,"",I,MAIN MENU,true,1,1,true,UNIQUE_MATCH
150,,TRACING,FINAL,Tracing,,TO PLAY,ID,I,D,TO PLAY,false,,1,true,UNIQUE_MATCH
151,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
152,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
153,,NO,FINAL,No,,TO PLAY,E,"",E,MAIN MENU,false,,1,true,UNIQUE_MATCH
156,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
157,,YES,FINAL,Yes,,TO PLAY,D,"",D,MAIN MENU,false,,1,true,UNIQUE_MATCH
160,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE,M,"",M,MAIN MENU,true,1,1,true,UNIQUE_MATCH
161,,AND,FINAL,And,,EXPERIENCE,MH,M,H,EXPERIENCE,false,,1,true,UNIQUE_MATCH
162,,MOM,FINAL,Mom,,EXPERIENCE,,,,,,,,false,
