Line Number,full_pattern,menu_pattern,button,selection,Category,Training/ Spontaneous,Utterance: Single word or phrase,Type of Sign,menu_title,is_menu,menu_multiplicity,multiplicity
1,ABCE,ABC,E,HOT INSIDE,Space-Temporal,Generalized,Phrase,Photo,HOT,false,,1
2,ABCF,ABC,F,HOT OUTSIDE,Space-Temporal,Generalized,Phrase,Photo,HOT,false,,1
3,ABDE,ABD,E,WARM INSIDE,Space-Temporal,Generalized,Phrase,Photo,WARM,false,,1
4,ABDF,ABD,F,WARM OUTSIDE,Space-Temporal,Generalized,Phrase,Photo,WARM,false,,1
5,ABED,ABE,D,COOL INSIDE,Space-Temporal,Generalized,Phrase,Photo,COOL,false,,1
6,ABEF,ABE,F,COOL OUTSIDE,Space-Temporal,Generalized,Phrase,Photo,COOL,false,,1
7,ABFD,ABF,D,COLD INSIDE,Space-Temporal,Generalized,Phrase,Photo,COLD,false,,1
8,ABFE,ABF,E,COLD OUTSIDE,Space-Temporal,Generalized,Phrase,Photo,COLD,false,,1
9,BKD,BK,D,LEARNING,Socio-Cognitive,Generalized,Single Word,Abstract Sign,TALK ABOUT,false,,1
10,DCG,DC,G,THEME,Navigation,Generalized,Single Word,Drawing,BOOK,true,1,1
11,KF,K,F,THEMES,Navigation,Generalized,Single Word,Drawing,CARTOONS,true,1,1
12,ABC,AB,C,HOT,Navigation,Trained,Single Word,Abstract Sign,TEMP AND WEATHER,true,1,1
13,ABCB,ABC,B,I FEEL HOT,Self/State,Trained,Phrase,Drawing,HOT,false,,1
14,ABCD,ABC,D,I WANT TO FEEL HOT,Self/State,Trained,Phrase,Drawing,HOT,false,,1
15,ABCG,ABC,G,HOT WIND BLOW DRYER,Resources,Trained,Phrase,Photo,HOT,false,,1
16,ABD,AB,D,WARM,Navigation,Trained,Single Word,Abstract Sign,TEMP AND WEATHER,true,1,1
17,ABDB,ABD,B,I FEEL WARM,Self/State,Trained,Phrase,Drawing,WARM,false,,1
18,ABDC,ABD,C,I WANT TO FEEL WARM,Self/State,Trained,Phrase,Drawing,WARM,false,,1
19,ABE,AB,E,COOL,Navigation,Trained,Single Word,Abstract Sign,TEMP AND WEATHER,true,1,1
20,ABEB,ABE,B,I FEEL COOL,Self/State,Trained,Phrase,Drawing,COOL,false,,1
21,ABEC,ABE,C,I WANT TO FEEL COOL,Self/State,Trained,Phrase,Drawing,COOL,false,,1
22,ABF,AB,F,COLD,Navigation,Trained,Single Word,Abstract Sign,TEMP AND WEATHER,true,1,1
23,ABFB,ABF,B,I FEEL COLD,Self/State,Trained,Phrase,Drawing,COLD,false,,1
24,ABFC,ABF,C,I WANT TO FEEL COLD,Self/State,Trained,Phrase,Drawing,COLD,false,,1
25,ABFG,ABF,G,COLD WIND AIR CONDITIONER,Resources,Trained,Phrase,Photo,COLD,false,,1
26,ABH,AB,H,CLOUD,Space-Temporal,Trained,Single Word,Photo,TEMP AND WEATHER,false,,1
27,ABI,AB,I,RAIN,Space-Temporal,Trained,Single Word,Photo,TEMP AND WEATHER,false,,1
28,ABJ,AB,J,WIND,Space-Temporal,Trained,Single Word,Photo,TEMP AND WEATHER,false,,1
29,ABK,AB,K,DAY / SUN,Space-Temporal,Trained,Phrase,Photo,TEMP AND WEATHER,false,,1
30,ABL,AB,L,NIGHT / MOON,Space-Temporal,Trained,Phrase,Photo,TEMP AND WEATHER,false,,1
31,ADB,AD,B,EASTER BABIES,Socio-Cognitive,Trained,Phrase,Photo,ANIMALS,false,,1
32,AE,A,E,HOLIDAYS,Socio-Cognitive,Trained,Single Word,Photo,TALK ABOUT,false,,1
33,AF,A,F,LEARN SOMETHING NEW,Socio-Cognitive,Trained,Phrase,Abstract Sign,TALK ABOUT,false,,1
34,AG,A,G,MATH,Socio-Cognitive,Trained,Single Word,Photo,TALK ABOUT,false,,1
35,AH,A,H,LETTERS AND PHONICS,Socio-Cognitive,Trained,Phrase,Photo,TALK ABOUT,false,,1
36,AI,A,I,TYPING,Socio-Cognitive,Trained,Single Word,Photo,TALK ABOUT,false,,1
37,AJ,A,J,YES AND NO,Navigation,Trained,Phrase,Drawing,TALK ABOUT,true,1,1
38,AJB,AJ,B,YES,Affirmations,Trained,Single Word,Abstract Sign,YES AND NO,false,,1
39,AJC,AJ,C,NO,Affirmations,Trained,Single Word,Abstract Sign,YES AND NO,false,,1
40,AJD,AJ,D,I'M NOT SURE,Affirmations,Trained,Phrase,Abstract Sign,YES AND NO,false,,1
41,AJE,AJ,E,SOMETHING ELSE,Affirmations,Trained,Phrase,Abstract Sign,YES AND NO,false,,1
42,B,"",B,SAY HELLO TO,Navigation,Trained,Phrase,Drawing,MAIN MENU,true,1,1
43,BD,B,D,GRANDMA,Family & Friends,Trained,Single Word,Photo,SAY HELLO TO,false,,1
44,BE,B,E,CORI,Family & Friends,Trained,Single Word,Photo,SAY HELLO TO,false,,1
45,BF,B,F,SIERRA,Family & Friends,Trained,Single Word,Photo,SAY HELLO TO,false,,1
46,BG,B,G,CAR RIDE,Space-Temporal,Trained,Phrase,Drawing,SAY HELLO TO,false,,1
47,BH,B,H,BIRD FRIENDS,Navigation,Trained,Phrase,Photo,SAY HELLO TO,true,1,1
48,BHB,BH,B,COOKIE,Family & Friends,Trained,Single Word,Photo,BIRD FRIENDS,false,,1
49,BHC,BH,C,LITTLE LOU,Family & Friends,Trained,Phrase,Photo,BIRD FRIENDS,false,,1
50,BHD,BH,D,"SKITTLES, SQUEE AND YAYA",Family & Friends,Trained,Phrase,Photo,BIRD FRIENDS,false,,1
51,BJ,B,J,SISTERS,Navigation,Trained,Single Word,Photo,SAY HELLO TO,true,1,1
52,C,"",C,EXPERIENCE,Navigation,Trained,Single Word,Drawing,MAIN MENU,true,1,1
53,CD,C,D,TOUCH,Action,Trained,Single Word,Abstract Sign,EXPERIENCE,false,,1
54,CE,C,E,SEE,Action,Trained,Single Word,Abstract Sign,EXPERIENCE,false,,1
55,CF,C,F,HEAR,Action,Trained,Single Word,Abstract Sign,EXPERIENCE,false,,1
56,CJ,C,J,READ,Socio-Cognitive,Trained,Single Word,Abstract Sign,EXPERIENCE,false,,1
57,CK,C,K,TASTE,Action,Trained,Single Word,Drawing,EXPERIENCE,false,,1
58,CL,C,L,SMELL,Action,Trained,Single Word,Photo,EXPERIENCE,false,,1
59,D,"",D,TO PLAY,Navigation,Trained,Phrase,Drawing,MAIN MENU,true,1,1
60,DB,D,B,SNUGGLE,Action,Trained,Single Word,Drawing,TO PLAY,false,,1
61,DC,D,C,BOOK,Navigation,Trained,Single Word,Drawing,TO PLAY,true,1,1
62,DCB,DC,B,TOUCH AND FEEL,Socio-Cognitive,Trained,Phrase,Photo,BOOK,false,,1
63,DCD,DC,D,POP UP,Socio-Cognitive,Trained,Phrase,Photo,BOOK,false,,1
64,DCE,DC,E,READING BOOK,Navigation,Trained,Phrase,Photo,BOOK,true,1,1
65,DCEB,DCE,B,ONE WORD,Socio-Cognitive,Trained,Phrase,Abstract Sign,READING BOOK,false,,1
66,DCEC,DCE,C,SENTENCE BOOK,Socio-Cognitive,Trained,Phrase,Abstract Sign,READING BOOK,false,,1
67,DE,D,E,WRITING,Socio-Cognitive,Trained,Single Word,Photo,TO PLAY,false,,1
68,DH,D,H,OUTSIDE SHOWER,Space-Temporal,Trained,Phrase,Drawing,TO PLAY,false,,1
69,DJ,D,J,CARDS,Socio-Cognitive,Trained,Single Word,Drawing,TO PLAY,false,,1
70,DK,D,K,CRAFTS,Socio-Cognitive,Trained,Single Word,Drawing,TO PLAY,false,,1
71,DL,D,L,TOYS,Resources,Trained,Single Word,Photo,TO PLAY,false,,1
72,EB,E,B,HAPPY,Self/State,Trained,Single Word,Drawing,FEELING,false,,1
73,EC,E,C,EXCITED,Self/State,Trained,Single Word,Drawing,FEELING,false,,1
74,ED,E,D,YUM,Self/State,Trained,Single Word,Drawing,FEELING,false,,1
75,EF,E,F,MAD,Self/State,Trained,Single Word,Abstract Sign,FEELING,false,,1
76,EH,E,H,LIKE,Self/State,Trained,Single Word,Abstract Sign,FEELING,false,,1
77,EI,E,I,NO LIKE,Self/State,Trained,Phrase,Abstract Sign,FEELING,false,,1
78,EJ,E,J,EWW,Self/State,Trained,Single Word,Drawing,FEELING,false,,1
79,EK,E,K,AFRAID,Self/State,Trained,Single Word,Drawing,FEELING,false,,1
80,EL,E,L,SAD,Self/State,Trained,Single Word,Drawing,FEELING,false,,1
81,FB,F,B,CONNECT THE DOTS,Socio-Cognitive,Trained,Phrase,Photo,GAMES,false,,1
82,FD,F,D,BALLOON POP,Socio-Cognitive,Trained,Phrase,Photo,GAMES,false,,1
83,FF,F,F,MUSIC,Socio-Cognitive,Trained,Single Word,Photo,GAMES,false,,2
84,FG,F,G,NUMBER MATCH,Socio-Cognitive,Trained,Phrase,Photo,GAMES,false,,1
85,FH,F,H,MATCHING GAME,Socio-Cognitive,Trained,Phrase,Photo,GAMES,false,,1
86,FI,F,I,WHICH ONE?,Socio-Cognitive,Trained,Phrase,Photo,GAMES,false,,1
87,FJ,F,J,PUZZLE,Socio-Cognitive,Trained,Single Word,Photo,GAMES,false,,1
88,FK,F,K,COLORING,Socio-Cognitive,Trained,Single Word,Photo,GAMES,false,,1
89,FL,F,L,BABY UNICORN,Socio-Cognitive,Trained,Phrase,Photo,GAMES,false,,1
90,G,"",G,TO EAT,Navigation,Trained,Phrase,Drawing,MAIN MENU,true,1,1
91,GB,G,B,A TOAST,Resources,Trained,Phrase,Photo,TO EAT,false,,1
92,GC,G,C,EGGS,Resources,Trained,Single Word,Photo,TO EAT,false,,1
93,GD,G,D,CHOP,Resources,Trained,Single Word,Photo,TO EAT,false,,1
94,GF,G,F,AN APPLE,Resources,Trained,Phrase,Photo,TO EAT,false,,1
95,GI,G,I,A PANCAKE,Resources,Trained,Phrase,Photo,TO EAT,false,,1
96,GJ,G,J,SPAGHETTI,Resources,Trained,Single Word,Photo,TO EAT,false,,1
97,GK,G,K,A BANANA,Resources,Trained,Phrase,Photo,TO EAT,false,,1
98,GL,G,L,TOFU,Resources,Trained,Single Word,Photo,TO EAT,false,,1
99,H,"",H,TO DRINK,Navigation,Trained,Phrase,Drawing,MAIN MENU,true,1,1
100,HB,H,B,WATER,Resources,Trained,Single Word,Photo,TO DRINK,false,,1
101,HC,H,C,TEA,Resources,Trained,Single Word,Photo,TO DRINK,false,,1
102,HD,H,D,JUICE,Resources,Trained,Single Word,Photo,TO DRINK,false,,1
103,I,"",I,PLACES,Navigation,Trained,Single Word,Photo,MAIN MENU,true,1,1
104,IB,I,B,ISABELLE’S HOUSE,Space-Temporal,Trained,Phrase,Photo,PLACES,false,,1
105,IC,I,C,SOFA BASKET,Space-Temporal,Trained,Phrase,Photo,PLACES,false,,1
106,ID,I,D,CAGE TABLET,Space-Temporal,Trained,Phrase,Photo,PLACES,false,,1
107,IF,I,F,PLAY STAND,Space-Temporal,Trained,Phrase,Photo,PLACES,false,,1
108,J,"",J,MUSIC,Navigation,Trained,Single Word,Drawing,MAIN MENU,true,1,1
109,JB,J,B,BACH & VIVALDI,Resources,Trained,Phrase,Drawing,MUSIC,false,,1
110,JC,J,C,PIANO,Resources,Trained,Single Word,Drawing,MUSIC,false,,1
111,JD,J,D,VIOLIN,Resources,Trained,Single Word,Drawing,MUSIC,false,,1
112,JE,J,E,DANCE,Resources,Trained,Single Word,Photo,MUSIC,false,,1
113,JF,J,F,OLDIES,Resources,Trained,Single Word,Photo,MUSIC,false,,1
114,JG,J,G,BEETHOVEN & DVORAK,Resources,Trained,Phrase,Drawing,MUSIC,false,,1
115,K,"",K,CARTOONS,Navigation,Trained,Single Word,Photo,MAIN MENU,true,1,1
116,KB,K,B,PEPPA PIG,Resources,Trained,Phrase,Photo,CARTOONS,false,,1
117,KC,K,C,CLOUDBABIES,Resources,Trained,Single Word,Photo,CARTOONS,false,,1
118,KD,K,D,TOM AND JERRY,Resources,Trained,Phrase,Photo,CARTOONS,false,,1
119,KEB,KE,B,WINTER,Resources,Trained,Single Word,Photo,SEASONAL,false,,1
120,KEC,KE,C,FALL,Resources,Trained,Single Word,Photo,SEASONAL,false,,1
121,KED,KE,D,SPRING,Resources,Trained,Single Word,Photo,SEASONAL,false,,1
122,KEE,KE,E,SUMMER,Resources,Trained,Single Word,Photo,SEASONAL,false,,1
123,KH,K,H,KATURI,Resources,Trained,Single Word,Photo,CARTOONS,false,,1
124,KI,K,I,LITTLE KINGDOM,Resources,Trained,Phrase,Photo,CARTOONS,false,,1
125,L,"",L,TREATS,Navigation,Trained,Single Word,Photo,MAIN MENU,true,1,1
126,LB,L,B,SUNFLOWER SEEDS,Resources,Trained,Phrase,Photo,TREATS,false,,1
127,LC,L,C,NUTS,Resources,Trained,Single Word,Photo,TREATS,false,,1
128,LD,L,D,SEED BALL,Resources,Trained,Phrase,Photo,TREATS,false,,1
129,LE,L,E,MANGO,Resources,Trained,Single Word,Photo,TREATS,false,,1
130,LF,L,F,MEDICINE,Resources,Trained,Single Word,Abstract Sign,TREATS,false,,1
131,LG,L,G,ALMOND,Resources,Trained,Single Word,Photo,TREATS,false,,1
132,A,"",A,TALK ABOUT,Navigation,Trained - Repeated,Phrase,Abstract Sign,MAIN MENU,true,2,2
133,AA,A,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,TALK ABOUT,false,,30
134,AB,A,B,TEMP AND WEATHER,Navigation,Trained - Repeated,Phrase,Photo,TALK ABOUT,true,1,1
135,ABA,AB,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,TEMP AND WEATHER,false,,30
136,ABCA,ABC,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,HOT,false,,30
137,ABDA,ABD,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,WARM,false,,30
138,ABEA,ABE,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,COOL,false,,30
139,ABFA,ABF,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,COLD,false,,30
140,AC,A,C,FANTASY,Navigation,Trained - Repeated,Single Word,Drawing,TALK ABOUT,true,2,2
141,ACA,AC,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,FANTASY,false,,30
142,ACB,AC,B,DRAGON,Socio-Cognitive,Trained - Repeated,Single Word,Drawing,FANTASY,false,,1
143,ACD,AC,D,UNICORN,Socio-Cognitive,Trained - Repeated,Single Word,Drawing,FANTASY,false,,1
144,ACE,AC,E,FAIRY,Socio-Cognitive,Trained - Repeated,Single Word,Drawing,FANTASY,false,,1
145,AD,A,D,ANIMALS,Navigation,Trained - Repeated,Single Word,Drawing,TALK ABOUT,true,1,1
146,ADA,AD,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,ANIMALS,false,,30
147,AJA,AJ,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,YES AND NO,false,,30
148,BA,B,A,BACK,Navigation,Trained - Repeated,Single Word,Abstract Sign,SAY HELLO TO,false,,30
149,BC,B,C,MOM,Family & Friends,Trained - Repeated,Single Word,Photo,SAY HELLO TO,false,,2
150,BHA,BH,A,BACK,Navigation,Trained - Repeated,Single Word,Photo,BIRD FRIENDS,false,,30
