row_number,selection,source,word,menu,menu_ff
0,CARTOONS,MENU,,Cartoons,Cartoons
1,FEELING,MENU,,Feeling,Feeling
2,HAPPY,FINAL,Happy,,Feeling
3,MAD,FINAL,Mad,,Feeling
4,MAD,FINAL,Mad,,Feeling
5,TO PLAY,MENU,,To play,To play
6,BOOK,FINAL,Book,,To play
7,HAPPY,FINAL,Happy,,To play
8,HAPPY,FINAL,Happy,,To play
9,SAY HELLO TO,MENU,,Say Hello To,Say Hello To
10,MOM,FINAL,Mom,,Say Hello To
11,GRANDMA,FINAL,Grandma,,Say Hello To
12,CAR RIDE,FINAL,Car Ride,,Say Hello To
13,CAR RIDE,FINAL,Car Ride,,Say Hello To
14,I'M NOT SURE,FINAL,I'm not sure,,Say Hello To
15,YES,FINAL,Yes,,Say Hello To
16,YES,FINAL,Yes,,Say Hello To
17,TALK ABOUT,MENU,,Talk about,Talk about
18,OUTSIDE,MENU,,Outside,Outside
19,COLD,FINAL,Cold,,Outside
20,COOL,FINAL,Cool,,Outside
21,HOT,FINAL,Hot,,Outside
22,YES,FINAL,Yes,,Outside
23,YES,FINAL,Yes,,Outside
24,NO,FINAL,No,,Outside
25,TREATS,FINAL,Treats,,Outside
26,PLACES,MENU,,Places,Places
27,SOFA BASKET,FINAL,Sofa basket,,Places
28,SAY HELLO TO,MENU,,Say hello to,Say hello to
29,TALK ABOUT,MENU,,Talk About,Talk About
30,HOT,MENU,,Hot,Hot
31,I FEEL HOT,FINAL,I feel hot,,Hot
32,TALK ABOUT,MENU,,Talk about,Talk about
33,TALK ABOUT,MENU,,Talk about,Talk about
34,BODY,FINAL,Body,,Talk about
35,HOT,MENU,,Hot,Hot
36,I FEEL HOT,FINAL,I feel hot,,Hot
37,TALK ABOUT,MENU,,Talk about ,Talk about 
38,TALK ABOUT,MENU,,Talk about ,Talk about 
39,TEMP AND WEATHER,MENU,,Temp and Weather,Temp and Weather
40,WARM,MENU,,Warm,Warm
41,HOT,MENU,,Hot,Hot
42,HOT OUTSIDE,FINAL,Hot outside,,Hot
43,I FEEL HOT,FINAL,I feel hot,,Hot
44,HOT OUTSIDE,FINAL,Hot outside,,Hot
45,TALK ABOUT,MENU,,Talk About,Talk About
46,TEMP AND WEATHER,MENU,,Temp and Weather,Temp and Weather
47,TEMP AND WEATHER,MENU,,Temp and Weather,Temp and Weather
48,HOT,MENU,,Hot,Hot
49,HOT OUTSIDE,FINAL,Hot outside,,Hot
50,HOT,MENU,,Hot,Hot
51,TALK ABOUT,MENU,,Talk about ,Talk about 
52,EXPERIENCE,MENU,,Experience,Experience
53,MOM,FINAL,Mom,,Experience
54,TALK ABOUT,MENU,,Talk about ,Talk about 
55,TALK ABOUT,MENU,,Talk about ,Talk about 
56,TALK ABOUT,MENU,,Talk about ,Talk about 
57,OUTSIDE,MENU,,Outside,Outside
58,TALK ABOUT,MENU,,Talk about,Talk about
59,EXPERIENCE,MENU,,Experience,Experience
60,MOM,FINAL,Mom,,Experience
61,TALK ABOUT,MENU,,Talk about ,Talk about 
62,OUTSIDE,MENU,,Outside,Outside
63,OUTSIDE,MENU,,Outside,Outside
64,COLD,MENU,,Cold,Cold
65,HOT,MENU,,Hot,Hot
66,HOT OUTSIDE,FINAL,Hot outside,,Hot
67,HOT OUTSIDE,FINAL,Hot outside,,Hot
68,HOT OUTSIDE,FINAL,Hot outside,,Hot
69,I FEEL HOT,FINAL,I feel hot,,Hot
70,HOT OUTSIDE,FINAL,Hot outside,,Hot
71,I FEEL HOT,FINAL,I feel hot,,Hot
72,HOT OUTSIDE,FINAL,Hot outside,,Hot
73,I FEEL HOT,FINAL,I feel hot,,Hot
74,I WANT TO FEEL HOT,FINAL,I want to Feel Hot,,Hot
75,HOT OUTSIDE,FINAL,Hot outside,,Hot
76,PLACES,MENU,,Places,Places
77,SOFA BASKET,FINAL,Sofa basket,,Places
78,TO PLAY,MENU,,To Play,To Play
79,TRACING,FINAL,Tracing,,To Play
80,CRAFTS,FINAL,Crafts,,To Play
81,TRACING,FINAL,Tracing,,To Play
82,CRAFTS,FINAL,Crafts,,To Play
83,HAPPY,FINAL,Happy,,To Play
84,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
85,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
86,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,To Play
