Line Number,Location path code,selection,source,word,menu,menu_ff
1,,CARTOONS,MENU,,CARTOONS,CARTOONS
2,,FEELING,MENU,,FEELING,FEELING
3,,HAPPY,FINAL,Happy,,FEELING
5,,MAD,FINAL,Mad,,FEELING
6,,MAD,FINAL,Mad,,FEELING
9,,TO PLAY,MENU,,TO PLAY,TO PLAY
10,,BOOK,FINAL,Book,,TO PLAY
12,,HAPPY,FINAL,Happy,,TO PLAY
13,,HAPPY,FINAL,Happy,,TO PLAY
15,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
16,,MOM,FINAL,Mom,,SAY HELLO TO
17,,GRANDMA,FINAL,Grandma,,SAY HELLO TO
18,,CAR RIDE,FINAL,Car Ride,,SAY HELLO TO
19,,CAR RIDE,FINAL,Car Ride,,SAY HELLO TO
20,,I'M NOT SURE,FINAL,I'm not sure,,SAY HELLO TO
21,,YES,FINAL,Yes,,SAY HELLO TO
22,,YES,FINAL,Yes,,SAY HELLO TO
25,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
26,,OUTSIDE,MENU,,OUTSIDE,OUTSIDE
27,,COLD,FINAL,Cold,,OUTSIDE
28,,COOL,FINAL,Cool,,OUTSIDE
29,,HOT,FINAL,Hot,,OUTSIDE
30,,YES,FINAL,Yes,,OUTSIDE
31,,YES,FINAL,Yes,,OUTSIDE
32,,NO,FINAL,No,,OUTSIDE
33,,TREATS,FINAL,Treats,,OUTSIDE
36,,PLACES,MENU,,PLACES,PLACES
37,,SOFA BASKET,FINAL,Sofa basket,,PLACES
38,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
39,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
40,,HOT,MENU,,HOT,HOT
41,,I FEEL HOT,FINAL,I feel hot,,HOT
42,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
43,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
44,,BODY,FINAL,Body,,TALK ABOUT
45,,HOT,MENU,,HOT,HOT
46,,I FEEL HOT,FINAL,I feel hot,,HOT
47,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT 
48,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT 
49,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER
50,,WARM,MENU,,WARM,WARM
51,,HOT,MENU,,HOT,HOT
52,,HOT OUTSIDE,FINAL,Hot outside,,HOT
53,,I FEEL HOT,FINAL,I feel hot,,HOT
54,,HOT OUTSIDE,FINAL,Hot outside,,HOT
55,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
56,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER
57,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER
58,,HOT,MENU,,HOT,HOT
59,,HOT OUTSIDE,FINAL,Hot outside,,HOT
60,,HOT,MENU,,HOT,HOT
61,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT 
62,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
63,,MOM,FINAL,Mom,,EXPERIENCE
64,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT 
65,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT 
66,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT 
67,,OUTSIDE,MENU,,OUTSIDE,OUTSIDE
68,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
69,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
70,,MOM,FINAL,Mom,,EXPERIENCE
71,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT 
72,,OUTSIDE,MENU,,OUTSIDE,OUTSIDE
73,,OUTSIDE,MENU,,OUTSIDE,OUTSIDE
74,,COLD,MENU,,COLD,COLD
75,,HOT,MENU,,HOT,HOT
76,,HOT OUTSIDE,FINAL,Hot outside,,HOT
77,,HOT OUTSIDE,FINAL,Hot outside,,HOT
78,,HOT OUTSIDE,FINAL,Hot outside,,HOT
79,,I FEEL HOT,FINAL,I feel hot,,HOT
80,,HOT OUTSIDE,FINAL,Hot outside,,HOT
81,,I FEEL HOT,FINAL,I feel hot,,HOT
82,,HOT OUTSIDE,FINAL,Hot outside,,HOT
83,,I FEEL HOT,FINAL,I feel hot,,HOT
84,,I WANT TO FEEL HOT,FINAL,I want to Feel Hot,,HOT
85,,HOT OUTSIDE,FINAL,Hot outside,,HOT
87,,PLACES,MENU,,PLACES,PLACES
88,,SOFA BASKET,FINAL,Sofa basket,,PLACES
89,,TO PLAY,MENU,,TO PLAY,TO PLAY
90,,TRACING,FINAL,Tracing,,TO PLAY
91,,CRAFTS,FINAL,Crafts,,TO PLAY
92,,TRACING,FINAL,Tracing,,TO PLAY
93,,CRAFTS,FINAL,Crafts,,TO PLAY
94,,HAPPY,FINAL,Happy,,TO PLAY
95,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
96,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
97,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
98,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
99,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
100,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
101,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
102,,SEED BALL,FINAL,Seed ball,,TO PLAY
103,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
104,,MANGO,FINAL,Mango,,TO PLAY
105,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
106,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
107,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
108,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
109,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
110,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
111,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
112,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
113,,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,TO PLAY
115,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
116,,SEE,FINAL,See,,EXPERIENCE
117,,SEE,FINAL,See,,EXPERIENCE
120,,BIRD FRIENDS,MENU,,BIRD FRIENDS,BIRD FRIENDS
121,,OUTSIDE WALK,FINAL,Outside walk,,BIRD FRIENDS
122,,OUTSIDE WALK,FINAL,Outside walk,,BIRD FRIENDS
123,,OUTSIDE WALK,FINAL,Outside walk,,BIRD FRIENDS
126,,MOM,FINAL,Mom,,BIRD FRIENDS
127,,MOM,FINAL,Mom,,BIRD FRIENDS
128,,OUTSIDE WALK,FINAL,Outside walk,,BIRD FRIENDS
129,,HAPPY,FINAL,Happy,,BIRD FRIENDS
130,,HAPPY,FINAL,Happy,,BIRD FRIENDS
131,,HAPPY,FINAL,Happy,,BIRD FRIENDS
138,,PLACES,MENU,,PLACES,PLACES
139,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
140,,TOUCH,FINAL,Touch,,EXPERIENCE
141,,TOUCH,FINAL,Touch,,EXPERIENCE
142,,TRACING,FINAL,Tracing,,EXPERIENCE
145,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
146,,MOM,FINAL,Mom,,EXPERIENCE
147,,SEE,FINAL,See,,EXPERIENCE
148,,SEE,FINAL,See,,EXPERIENCE
149,,MOM,FINAL,Mom,,EXPERIENCE
151,,SEE,FINAL,See,,EXPERIENCE
154,,TO PLAY,MENU,,TO PLAY,TO PLAY
155,,TRACING,FINAL,Tracing,,TO PLAY
156,,WRITING,FINAL,Writing,,TO PLAY
158,,TO PLAY,MENU,,TO PLAY,TO PLAY
159,,BOOK,MENU,,BOOK,BOOK
160,,TOUCH AND FEEL,FINAL,Touch and feel,,BOOK
161,,TOUCH AND FEEL,FINAL,Touch and feel,,BOOK
164,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
165,,MOM,FINAL,Mom,,EXPERIENCE
166,,MOM,FINAL,Mom ,,EXPERIENCE
167,,TOUCH,FINAL,Touch,,EXPERIENCE
168,,TOUCH,FINAL,Touch,,EXPERIENCE
169,,BOOK,MENU,,BOOK,BOOK
170,,TOUCH AND FEEL,FINAL,Touch and feel,,BOOK
171,,READING BOOK,MENU,,READING BOOK,READING BOOK
172,,SENTENCE BOOK,FINAL,Sentence book,,READING BOOK
173,,TOUCH AND FEEL,FINAL,Touch and feel,,READING BOOK
174,,THEME,MENU,,THEME,THEME
175,,ANIMALS,MENU,,ANIMALS,ANIMALS
177,,GAMES,MENU,,GAMES,GAMES
179,,CARTOONS,MENU,,CARTOONS,CARTOONS
180,,PEPPA PIG,FINAL,Peppa Pig,,CARTOONS
181,,PEPPA PIG,FINAL,Peppa Pig,,CARTOONS
183,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT
184,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER
185,,HOT,MENU,,HOT,HOT
186,,I FEEL HOT,FINAL,I feel hot,,HOT
187,,I FEEL HOT,FINAL,I feel hot,,HOT
188,,I WANT TO FEEL HOT,FINAL,I want to feel hot,,HOT
189,,HOT INSIDE,FINAL,Hot inside,,HOT
190,,HOT WIND BLOW DRYER,FINAL,Hot wind blow dryer,,HOT
191,,HOT OUTSIDE,FINAL,Hot outside,,HOT
