Line Number,Location path code,selection,source,word,menu,menu_ff,full_pattern,menu_pattern,button,menu_title,is_menu,menu_multiplicity,multiplicity,Training/ Spontaneous,Utterance: Single word or phrase,Type of Sign,is_match,match_type
1,,CARTOONS,MENU,,CARTOONS,CARTOONS,K,"",K,MAIN MENU,true,1,1,Trained,Single Word,Photo,true,UNIQUE_MATCH
2,,FEELING,MENU,,FEELING,FEELING,E,"",E,MAIN MENU,true,1,1,Trained - Repeated,Single Word,Abstract Sign,true,UNIQUE_MATCH
3,,HAPPY,FINAL,Happy,,FEELING,EB,E,B,FEELING,false,,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
5,,MAD,FINAL,Mad,,FEELING,EF,E,F,FEELING,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
6,,MAD,FINAL,Mad,,FEELING,EF,E,F,FEELING,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
9,,TO PLAY,MENU,,TO PLAY,TO PLAY,D,"",D,MAIN MENU,true,1,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
10,,BOOK,FINAL,Book,,TO PLAY,,,,,,,,,,,false,
12,,HAPPY,FINAL,Happy,,TO PLAY,EB,E,B,FEELING,false,,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
13,,HAPPY,FINAL,Happy,,TO PLAY,EB,E,B,FEELING,false,,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
15,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO,B,"",B,MAIN MENU,true,1,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
16,,MOM,FINAL,Mom,,SAY HELLO TO,,,,,,,,,,,false,
17,,GRANDMA,FINAL,Grandma,,SAY HELLO TO,BD,B,D,SAY HELLO TO,false,,1,Trained,Single Word,Photo,true,UNIQUE_MATCH
18,,CAR RIDE,FINAL,Car Ride,,SAY HELLO TO,BG,B,G,SAY HELLO TO,false,,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
19,,CAR RIDE,FINAL,Car Ride,,SAY HELLO TO,BG,B,G,SAY HELLO TO,false,,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
20,,I'M NOT SURE,FINAL,I'm not sure,,SAY HELLO TO,AJD,AJ,D,YES AND NO,false,,1,Trained,Phrase,Abstract Sign,true,UNIQUE_MATCH
21,,YES,FINAL,Yes,,SAY HELLO TO,AJB,AJ,B,YES AND NO,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
22,,YES,FINAL,Yes,,SAY HELLO TO,AJB,AJ,B,YES AND NO,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
25,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT,,,,,,,,,,,false,
26,,OUTSIDE,MENU,,OUTSIDE,OUTSIDE,,,,,,,,,,,false,
27,,COLD,FINAL,Cold,,OUTSIDE,,,,,,,,,,,false,
28,,COOL,FINAL,Cool,,OUTSIDE,,,,,,,,,,,false,
29,,HOT,FINAL,Hot,,OUTSIDE,,,,,,,,,,,false,
30,,YES,FINAL,Yes,,OUTSIDE,AJB,AJ,B,YES AND NO,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
31,,YES,FINAL,Yes,,OUTSIDE,AJB,AJ,B,YES AND NO,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
32,,NO,FINAL,No,,OUTSIDE,AJC,AJ,C,YES AND NO,false,,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
33,,TREATS,FINAL,Treats,,OUTSIDE,,,,,,,,,,,false,
36,,PLACES,MENU,,PLACES,PLACES,I,"",I,MAIN MENU,true,1,1,Trained,Single Word,Photo,true,UNIQUE_MATCH
37,,SOFA BASKET,FINAL,Sofa basket,,PLACES,IC,I,C,PLACES,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
38,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO,B,"",B,MAIN MENU,true,1,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
39,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT,,,,,,,,,,,false,
40,,HOT,MENU,,HOT,HOT,ABC,AB,C,TEMP AND WEATHER,true,1,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
41,,I FEEL HOT,FINAL,I feel hot,,HOT,ABCB,ABC,B,HOT,false,,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
42,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT,,,,,,,,,,,false,
43,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT,,,,,,,,,,,false,
44,,BODY,FINAL,Body,,TALK ABOUT,,,,,,,,,,,false,
45,,HOT,MENU,,HOT,HOT,ABC,AB,C,TEMP AND WEATHER,true,1,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
46,,I FEEL HOT,FINAL,I feel hot,,HOT,ABCB,ABC,B,HOT,false,,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
47,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT ,,,,,,,,,,,false,
48,,TALK ABOUT,MENU,,TALK ABOUT ,TALK ABOUT ,,,,,,,,,,,false,
49,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER,AB,A,B,TALK ABOUT,true,1,1,Trained - Repeated,Phrase,Photo,true,UNIQUE_MATCH
50,,WARM,MENU,,WARM,WARM,ABD,AB,D,TEMP AND WEATHER,true,1,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
51,,HOT,MENU,,HOT,HOT,ABC,AB,C,TEMP AND WEATHER,true,1,1,Trained,Single Word,Abstract Sign,true,UNIQUE_MATCH
52,,HOT OUTSIDE,FINAL,Hot outside,,HOT,ABCF,ABC,F,HOT,false,,1,Generalized,Phrase,Photo,true,UNIQUE_MATCH
53,,I FEEL HOT,FINAL,I feel hot,,HOT,ABCB,ABC,B,HOT,false,,1,Trained,Phrase,Drawing,true,UNIQUE_MATCH
54,,HOT OUTSIDE,FINAL,Hot outside,,HOT,ABCF,ABC,F,HOT,false,,1,Generalized,Phrase,Photo,true,UNIQUE_MATCH
55,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT,,,,,,,,,,,false,
56,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER,AB,A,B,TALK ABOUT,true,1,1,Trained - Repeated,Phrase,Photo,true,UNIQUE_MATCH
57,,TEMP AND WEATHER,MENU,,TEMP AND WEATHER,TEMP AND WEATHER,AB,A,B,TALK ABOUT,true,1,1,Trained - Repeated,Phrase,Photo,true,UNIQUE_MATCH
