Line Number,full_pattern,menu_pattern,button,selection,menu_title,is_menu,menu_multiplicity,multiplicity
1,A,"",A,TALK ABOUT,MAIN MENU,true,1,1
2,AA,A,A,BACK,TALK ABOUT,false,,84
3,AB,A,B,ANIMALS,TALK ABOUT,true,3,3
4,ABA,AB,A,BACK,ANIMALS,false,,84
5,ABB,AB,B,,ANIMALS,false,,59
6,ABC,AB,C,UNDERWATER ANIMALS,ANIMALS,true,1,1
7,ABCA,ABC,A,BACK,UNDERWATER ANIMALS,false,,84
8,ABCB,ABC,B,FISH,UNDERWATER ANIMALS,false,,1
9,ABCC,ABC,C,"",UNDERWATER ANIMALS,false,,17
10,ABCD,ABC,D,TURTLE,UNDERWATER ANIMALS,false,,1
11,ABCE,ABC,E,OCTOPUS,UNDERWATER ANIMALS,false,,1
12,ABCF,ABC,F,SEAHORSE,UNDERWATER ANIMALS,false,,1
13,ABCG,ABC,G,DOLPHIN,UNDERWATER ANIMALS,false,,1
14,ABCH,ABC,H,CRAB,UNDERWATER ANIMALS,false,,1
15,ABCI,ABC,I,BOOK,UNDERWATER ANIMALS,false,,13
16,ABCJ,ABC,J,LOOK AT ART,UNDERWATER ANIMALS,false,,8
17,ABCK,ABC,K,TALK ABOUT,UNDERWATER ANIMALS,false,,11
18,ABCL,ABC,L,GAME,UNDERWATER ANIMALS,false,,12
19,ABCM,ABC,M,PAST,UNDERWATER ANIMALS,false,,13
20,ABCN,ABC,N,TODAY,UNDERWATER ANIMALS,false,,13
21,ABCO,ABC,O,FUTURE,UNDERWATER ANIMALS,false,,12
22,ABCP,ABC,P,LIKE,UNDERWATER ANIMALS,false,,31
23,ABCQ,ABC,Q,NO LIKE,UNDERWATER ANIMALS,false,,31
24,ABCR,ABC,R,WANT,UNDERWATER ANIMALS,false,,5
25,ABD,AB,D,BABY ANIMALS,ANIMALS,true,1,1
26,ABDA,ABD,A,BACK,BABY ANIMALS,false,,84
27,ABDB,ABD,B,CHICK,BABY ANIMALS,false,,1
28,ABDC,ABD,C,LAMB,BABY ANIMALS,false,,1
29,ABDD,ABD,D,,BABY ANIMALS,false,,59
30,ABDE,ABD,E,BUNNY,BABY ANIMALS,false,,1
31,ABDF,ABD,F,DUCK,BABY ANIMALS,false,,1
32,ABDG,ABD,G,PUPPY,BABY ANIMALS,false,,1
