Line Number,Location path code,selection,source,word,menu,menu_ff
1,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
2,,BODY,MENU,,BODY,BODY
3,,TYPES OF OUCH,MENU,,TYPES OF OUCH,TYPES OF OUCH
4,,CANCER,FINAL,Cancer,,TYPES OF OUCH
5,,CANCER,FINAL,Cancer,,TYPES OF OUCH
6,,INSIDE OUCH,FINAL,Inside Ouch,,TYPES OF OUCH
7,,INSIDE OUCH,FINAL,Inside Ouch,,TYPES OF OUCH
9,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
10,,BODY,MENU,,BODY,BODY
11,,FEELINGS,MENU,,FEELINGS,FEELINGS
12,,EXCITED,MENU,,EXCITED,EXCITED
13,,I WANT TO FEEL EXCITED,FINAL,I want to feel excited,,EXCITED
14,,I WANT TO FEEL EXCITED,FINAL,I want to feel excited,,EXCITED
15,,DESCRIPTIONS AND PREFERENCES,MENU,,DESCRIPTIONS AND PREFERENCES,DESCRIPTIONS AND PREFERENCES
16,,PREFERENCES,MENU,,PREFERENCES,PREFERENCES
17,,DARK,FINAL,dark,,PREFERENCES
18,,DARK,FINAL,dark,,PREFERENCES
19,,DARK,FINAL,dark,,PREFERENCES
20,,DARK,FINAL,dark,,PREFERENCES
21,,OUTSIDE,FINAL,outside,,PREFERENCES
22,,DARK,FINAL,dark,,PREFERENCES
23,,DARK,FINAL,dark,,PREFERENCES
24,,NO-LIKE,FINAL,no-like,,PREFERENCES
25,,LIGHT,FINAL,light ,,PREFERENCES
26,,DARK,FINAL,dark,,PREFERENCES
27,,DARK,FINAL,dark,,PREFERENCES
28,,BROKEN,FINAL,broken,,PREFERENCES
29,,DARK,FINAL,dark,,PREFERENCES
30,,DARK,FINAL,dark,,PREFERENCES
31,,DARK,FINAL,dark,,PREFERENCES
32,,LIGHT,FINAL,light ,,PREFERENCES
33,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
34,,BODY,MENU,,BODY,BODY
35,,I FEEL GOOD,FINAL,I feel good,,BODY
36,,I FEEL GOOD,FINAL,I feel good,,BODY
37,,I FEEL GOOD,FINAL,I feel good,,BODY
38,,I FEEL GOOD,FINAL,I feel good,,BODY
39,,OUCH,FINAL,ouch,,BODY
40,,OUCH,FINAL,ouch,,BODY
41,,I FELT OUCH,FINAL,I felt ouch,,BODY
42,,SICK OUCH,FINAL,sick ouch,,BODY
43,,MOM,FINAL,mom,,BODY
45,,SICK OUCH,FINAL,sick ouch,,BODY
46,,I FELT OUCH,FINAL,I felt ouch,,BODY
47,,I WILL FEEL OUCH,FINAL,I will feel ouch,,BODY
48,,MOM,FINAL,Mom,,BODY
49,,BONE OUCH,FINAL,Bone ouch,,BODY
50,,MOM/I FELT OUCH,FINAL,Mom/I felt ouch,,BODY
51,,SICK OUCH,FINAL,Sick ouch,,BODY
52,,I WILL FEEL OUCH,FINAL,I will feel ouch,,BODY
53,,I FELT OUCH/I FELT OUCH,FINAL,I felt ouch/I felt ouch,,BODY
54,,I FELT OUCH/MOM,FINAL,I felt ouch/mom,,BODY
55,,MOM,FINAL,Mom,,BODY
56,,I FELT OUCH,FINAL,I felt ouch,,BODY
57,,CANCER,FINAL,Cancer,,BODY
58,,TILLIE,FINAL,Tillie,,BODY
59,,I FELT OUCH,FINAL,I felt ouch,,BODY
60,,WHAT KIND OF OUCH/WHAT KIND OF OUCH,FINAL,What kind of ouch/What kind of ouch,,BODY
61,,SICK OUCH,FINAL,Sick ouch,,BODY
62,,WHAT KIND OF OUCH,FINAL,What kind of ouch ,,BODY
63,,SICK OUCH,FINAL,Sick ouch,,BODY
64,,BONE OUCH,FINAL,Bone ouch,,BODY
65,,BONE OUCH,FINAL,Bone ouch,,BODY
66,,I FELT OUCH,FINAL,I felt ouch,,BODY
67,,BONE OUCH,FINAL,Bone ouch,,BODY
68,,I FELT OUCH,FINAL,I felt ouch,,BODY
