selection,len
I FEEL GOOD,241
FEELINGS,47
CASSIE,9
PREFERENCES,9
OUTSIDE OUCH MEDICINE,8
SICK OUCH ANTIBIOTICS,7
GAMES,6
ALEXA PLAY GEORGE WINSTON,6
T,5
F,5
WHAT KIND OF OUCH,4
NIGHT STAR,4
WHAT KIND OF OUCH?,3
NO-LIKE,3
PAST/BACK,3
ALEXA PLAY VIVALDI ON PANDORA,2
BOOKS,2
SAY HELLO TO,2
TRACING & WRITING,2
C,2
MEMORY & TIME,2
"OUCH, OUCH",2
B,2
L,2
FEELINGS AND PREFERENCES,1
DESCRIPTIONS AND PREFERECES,1
RACOONS,1
PLEASE FIX,1
P,1
MOM/MOM,1
POP UP,1
WRITING AND TYPING,1
DESCRIPTIONS & PREFERENCES,1
A,1
WHAT KIND OF OUCH/WHAT KIND OF OUCH,1
RACOON,1
MOVE,1
READING BOOKS,1
GREEN,1
SAINT SAENS,1
PISTACHIO,1
E,1
WIND AND RAIN,1
ALEXA CALL JEN,1
INSIDE OUCH ANTIBIOTICS,1
PRESENT,1
MOM/I FELT OUCH,1
TILIE,1
I FELT OUCH/MOM,1
I FELT OUCH/I FELT OUCH,1
D,1
