selection,iteration,is_menu,len
,iteration_2,false,1
,iteration_3,false,56
"",iteration_2,false,14
"",iteration_3,false,17
"""A""",iteration_3,false,1
"""B""",iteration_3,false,1
"""D""",iteration_3,false,1
"""E""",iteration_3,false,1
"""F""",iteration_3,false,1
"""L""",iteration_3,false,1
"""M""",iteration_3,false,1
"""O""",iteration_3,false,1
"""P""",iteration_3,false,1
"""R""",iteration_3,false,1
"""S""",iteration_3,false,1
"""T""",iteration_3,false,1
0,iteration_3,false,1
1,iteration_3,false,1
2,iteration_3,false,1
3,iteration_3,false,1
4,iteration_3,false,1
5,iteration_3,false,1
6,iteration_3,false,1
7,iteration_3,false,1
8,iteration_3,false,1
A BANANA,iteration_1,false,1
A BANANA,iteration_2,false,1
A BANANA,iteration_3,false,1
A PANCAKE,iteration_1,false,1
A PANCAKE,iteration_2,false,1
A PANCAKE,iteration_3,false,1
A TOAST,iteration_1,false,1
A TOAST,iteration_2,false,1
A TOAST,iteration_3,false,1
ABOUT ME,iteration_3,true,1
ACORN,iteration_3,false,1
AFRAID,iteration_2,false,1
AFRAID,iteration_3,false,3
AFRAID,iteration_3,true,1
AFRAID OUCH,iteration_3,false,1
ALEXA,iteration_3,true,1
ALEXA CANCEL,iteration_3,false,1
ALEXA PLAY BEETHOVEN ON SPOTIFY,iteration_3,false,1
ALEXA PLAY CARTOONS ALEXA PLAY NUMBER 1,iteration_3,false,1
ALEXA PLAY COLDPLAY ON PANDORA,iteration_3,false,1
ALEXA PLAY HALLOWEEN MUSIC,iteration_3,false,1
ALEXA PLAY HANDEL,iteration_3,false,1
ALEXA PLAY HOOKED ON A FEELING ON PANDORA,iteration_3,false,1
ALEXA PLAY MEDITATION MUSIC,iteration_3,false,1
ALEXA PLAY PEPPA PIG CARTOONS,iteration_3,false,1
ALEXA PLAY VIVALDI,iteration_3,false,1
ALEXA PLAY WILL ACKERMAN,iteration_3,false,1
ALEXA PLAY YIRUMA,iteration_3,false,1
ALEXA THUMBS DOWN,iteration_3,false,1
ALEXA THUMBS UP,iteration_3,false,1
ALEXA VOLUME 3,iteration_3,false,1
ALEXA VOLUME 5,iteration_3,false,1
ALMOND,iteration_2,false,1
ALMOND,iteration_3,false,1
AN APPLE,iteration_1,false,1
AN APPLE,iteration_2,false,1
AN APPLE,iteration_3,false,1
AND,iteration_1,false,1
ANIMALS,iteration_2,false,1
ANIMALS,iteration_2,true,1
ANIMALS,iteration_3,true,3
ANT,iteration_3,false,1
AUNTIE ANGIE,iteration_1,false,1
BABY ANIMALS,iteration_3,false,3
BABY ANIMALS,iteration_3,true,1
BABY UNICORN,iteration_2,false,1
BABY UNICORN,iteration_3,false,1
BACH,iteration_3,false,1
BACH & VIVALDI,iteration_2,false,1
BACK,iteration_1,false,7
BACK,iteration_2,false,30
BACK,iteration_3,false,81
BACKYARD ANIMALS,iteration_3,false,2
BACKYARD ANIMALS,iteration_3,true,1
BALLOON POP,iteration_2,false,1
BALLOON POP,iteration_3,false,1
BANANA STRAW,iteration_3,false,1
BAROQUE,iteration_3,true,1
BASKET,iteration_3,false,1
BEETHOVEN,iteration_3,false,1
BEETHOVEN & DVORAK,iteration_2,false,1
BIG,iteration_3,false,1
BIRD,iteration_3,false,1
BIRD FRIENDS,iteration_2,true,1
BIRD FRIENDS,iteration_3,false,1
BLACK CAT,iteration_3,false,1
BLUE,iteration_3,false,2
BOARD,iteration_1,false,1
BODY,iteration_3,false,2
BODY,iteration_3,true,1
BONE OUCH,iteration_3,false,1
BOOK,iteration_1,false,1
BOOK,iteration_2,true,1
BOOK,iteration_3,false,13
BOOK,iteration_3,true,1
BORING,iteration_3,false,1
BROKEN,iteration_3,false,5
BROWN,iteration_3,false,1
BUBBLE GUPPIES,iteration_1,false,1
BUBBLE GUPPIES,iteration_2,false,1
BUGS,iteration_3,false,1
BUGS,iteration_3,true,1
BUNNY,iteration_3,false,1
BUTTERFLY,iteration_3,false,2
CAGE TABLET,iteration_2,false,1
CAGES,iteration_3,false,1
CALENDAR,iteration_3,false,1
CANCER,iteration_3,false,1
CAR RIDE,iteration_2,false,1
CAR RIDE,iteration_3,false,1
CARD GAME,iteration_3,false,4
CARD GAMES,iteration_3,false,2
CARD MATCH,iteration_3,false,1
CARDS,iteration_1,false,1
CARDS,iteration_2,false,1
CARDS,iteration_3,false,1
CARTOONS,iteration_2,true,1
CARTOONS,iteration_3,true,1
CEREAL,iteration_1,false,1
CHASE,iteration_1,false,1
CHICK,iteration_3,false,1
CHOP,iteration_2,false,1
CHOP,iteration_3,false,1
CHRIS,iteration_3,false,1
CHRISTMAS,iteration_2,false,1
CHRISTMAS,iteration_3,false,2
CHRISTMAS,iteration_3,true,1
CHRISTMAS CARTOONS,iteration_3,false,1
CHRISTMAS LIGHTS,iteration_3,false,1
CHRISTMAS MUSIC,iteration_3,false,1
CHRISTMAS TREE,iteration_3,false,1
CLEAN,iteration_3,true,1
CLOUD,iteration_2,false,1
CLOUD,iteration_3,false,1
CLOUDBABIES,iteration_2,false,1
CLOUDBABIES,iteration_3,false,1
CLOUDS,iteration_3,false,1
COLD,iteration_2,true,1
COLD,iteration_3,false,1
COLD,iteration_3,true,1
COLD INSIDE,iteration_2,false,1
COLD INSIDE,iteration_3,false,1
COLD OUTSIDE,iteration_2,false,1
COLD OUTSIDE,iteration_3,false,1
COLD WIND AIR CONDITIONER,iteration_2,false,1
COLOR GAME,iteration_1,false,1
COLORING,iteration_1,false,1
COLORING,iteration_2,false,1
COLORING,iteration_3,false,1
CONNECT THE DOTS,iteration_2,false,1
COOK BREAKFAST,iteration_2,false,1
COOK BREAKFAST,iteration_3,false,1
COOK DINNER,iteration_3,false,1
COOKIE,iteration_2,false,1
COOL,iteration_2,true,1
COOL,iteration_3,false,1
COOL,iteration_3,true,1
COOL INSIDE,iteration_2,false,1
COOL INSIDE,iteration_3,false,1
COOL OUTSIDE,iteration_2,false,1
COOL OUTSIDE,iteration_3,false,4
CORI,iteration_2,false,1
CORI,iteration_3,false,1
CRAB,iteration_3,false,1
CRAFT,iteration_1,false,1
CRAFT,iteration_3,false,7
CRAFTS,iteration_2,false,1
CRAFTS,iteration_3,false,1
CURTAIN,iteration_3,false,1
DANCE,iteration_1,false,1
DANCE,iteration_2,false,1
DANCE,iteration_3,true,1
DARK,iteration_3,false,2
DAY / SUN,iteration_2,false,1
DAY SUN,iteration_3,false,1
DEATH AND SAD,iteration_3,false,1
DEBUSSY,iteration_3,false,1
DEER,iteration_3,false,1
DESCRIPTIONS AND PREFERENCES,iteration_3,true,1
DIRT,iteration_3,false,1
DOLPHIN,iteration_3,false,1
DOWN LOW,iteration_3,false,4
DRAGON,iteration_2,false,1
DRAGON,iteration_3,false,3
DRAGONS,iteration_2,false,1
DRAW WHAT I SEE,iteration_3,false,1
DUCK,iteration_3,false,1
EASTER,iteration_2,false,1
EASTER,iteration_3,false,2
EASTER,iteration_3,true,1
EASTER BABIES,iteration_2,false,1
EASTER BASKET,iteration_3,false,1
EASTER BUNNY,iteration_3,false,1
EASTER CARTOONS,iteration_3,false,1
EASTER EGG,iteration_3,false,1
EASTER MUSIC,iteration_3,false,1
EASY,iteration_3,false,1
EGGS,iteration_2,false,1
EGGS,iteration_3,false,1
ELEPHANT,iteration_3,false,1
ELF,iteration_3,false,3
ELLIE,iteration_1,false,1
ELLIE,iteration_2,false,2
ELLIE,iteration_3,false,10
EMPTY,iteration_3,false,1
ENTERTAINMENT,iteration_3,true,1
EWW,iteration_2,false,1
EWW,iteration_3,false,1
EXCITED,iteration_2,false,1
EXCITED,iteration_3,false,2
EXCITED,iteration_3,true,1
EXPERIENCE,iteration_1,true,1
EXPERIENCE,iteration_2,true,1
EXPERIENCE,iteration_3,true,1
FAIRIES,iteration_2,false,1
FAIRY,iteration_2,false,1
FAIRY,iteration_3,false,3
FALL,iteration_2,false,1
FALL,iteration_3,false,2
FALL,iteration_3,true,1
FALL CARTOONS,iteration_3,false,1
FALL MUSIC,iteration_3,false,1
FANTASY,iteration_2,false,1
FANTASY,iteration_2,true,2
FANTASY,iteration_3,true,3
FAST,iteration_3,false,3
FEEL,iteration_3,false,1
FEEL GOOD,iteration_3,false,1
FEELING,iteration_1,false,1
